Wall time,Step,Value
1686298392.2948036,1010752,-1.1157846450805664
1686298401.0741973,1012288,-1.1156383752822876
1686298445.656127,1019968,-1.0962499380111694
1686298472.1762505,1024576,-1.0906999111175537
1686298480.9140034,1026112,-1.0923144817352295
1686298508.9692883,1030720,-1.0969228744506836
1686298517.7206755,1032256,-1.0993505716323853
1686298526.5480366,1033792,-1.1031460762023926
1686298563.2997906,1039936,-1.0875266790390015
1686298668.2040389,1058368,-1.0782140493392944
1686298703.3680067,1064512,-1.0764847993850708
1686298721.1117687,1067584,-1.077216625213623
1686298738.637063,1070656,-1.0859295129776
1686298747.435724,1072192,-1.0880601406097412
1686298765.147191,1075264,-1.0901728868484497
1686298782.6676948,1078336,-1.0831345319747925
1686298817.831647,1084480,-1.0799922943115234
1686298826.7312794,1086016,-1.0800532102584839
1686298835.5444324,1087552,-1.0770727396011353
1686298844.371644,1089088,-1.0736198425292969
1686298853.226893,1090624,-1.075350046157837
1686298905.3014545,1099840,-1.0360902547836304
1686298923.0083776,1102912,-1.0367720127105713
1686298931.7406445,1104448,-1.0349416732788086
1686298940.6243203,1105984,-1.0307337045669556
1686298949.468951,1107520,-1.0273940563201904
1686298975.5241394,1112128,-1.0028694868087769
1686298984.3649528,1113664,-0.9949126243591309
1686298993.0970888,1115200,-0.9945902228355408
1686299001.9833922,1116736,-0.999790608882904
1686299045.6411517,1124416,-1.0054521560668945
1686299089.7448566,1132096,-0.9875277280807495
1686299115.9719992,1136704,-0.9736459255218506
1686299124.7654958,1138240,-0.9801563024520874
1686299176.8330033,1147456,-1.031428337097168
1686299248.1105928,1159744,-1.0466837882995605
1686299274.7749982,1164352,-1.038431167602539
1686299283.623473,1165888,-1.0333847999572754
1686299345.4878075,1176640,-1.042034387588501
1686299372.043082,1181248,-1.050212025642395
1686299389.8822224,1184320,-1.0493470430374146
1686299451.6224627,1195072,-1.0257890224456787
1686299460.4723792,1196608,-1.0327080488204956
1686299486.859073,1201216,-1.0271737575531006
1686299495.6109076,1202752,-1.0282093286514282
1686299557.5642161,1213504,-1.0150153636932373
1686299575.2585003,1216576,-1.0197105407714844
1686299592.868287,1219648,-1.0196560621261597
1686299601.6697795,1221184,-1.020826816558838
1686299610.495494,1222720,-1.0204651355743408
1686299672.1518667,1233472,-1.0289734601974487
1686299716.4857688,1241152,-1.0147438049316406
1686299734.0145764,1244224,-1.0125783681869507
1686299742.9018836,1245760,-1.014939308166504
1686299778.2477205,1251904,-1.0240429639816284
1686299804.6570168,1256512,-1.0260835886001587
1686299822.2182481,1259584,-1.0302484035491943
1686299830.9973953,1261120,-1.0299906730651855
1686299857.3723414,1265728,-1.0442005395889282
1686299910.484237,1274944,-1.0423840284347534
1686299919.3603976,1276480,-1.0360901355743408
1686299936.9623842,1279552,-1.0427303314208984
1686299963.5334828,1284160,-1.0491750240325928
1686299981.0313838,1287232,-1.0448466539382935
1686299989.7564003,1288768,-1.0450135469436646
1686300007.482143,1291840,-1.0511584281921387
1686300024.9986193,1294912,-1.0550748109817505
1686300033.8440013,1296448,-1.0585020780563354
1686300095.7822862,1307200,-1.0828964710235596
1686300166.407778,1319488,-1.060006856918335
1686300175.1724668,1321024,-1.0725349187850952
1686300183.9512086,1322560,-1.0884371995925903
1686300219.3099551,1328704,-1.1098411083221436
1686300308.770874,1344064,-1.1035994291305542
1686300317.6874828,1345600,-1.0985503196716309
1686300335.441771,1348672,-1.099863886833191
1686300370.8556566,1354816,-1.1011964082717896
1686300397.1210086,1359424,-1.0900461673736572
1686300405.9501686,1360960,-1.095839500427246
1686300414.690735,1362496,-1.0944383144378662
1686300441.405028,1367104,-1.0712316036224365
1686300529.9344735,1382464,-1.0476524829864502
1686300547.547196,1385536,-1.0427887439727783
1686300600.5117764,1394752,-1.072790265083313
1686300626.7664745,1399360,-1.044394612312317
