Wall time,Step,Value
1686298392.2948382,1010752,471.79010009765625
1686298401.0742419,1012288,266.4917907714844
1686298445.6561697,1019968,370.3995056152344
1686298472.176296,1024576,310.6908874511719
1686298480.9140453,1026112,274.3183288574219
1686298508.9693468,1030720,204.49937438964844
1686298517.7207203,1032256,216.25778198242188
1686298526.5480819,1033792,286.28802490234375
1686298563.2998252,1039936,342.3209533691406
1686298668.2040868,1058368,313.7841796875
1686298703.3680518,1064512,168.79971313476562
1686298721.1118026,1067584,204.98077392578125
1686298738.6371067,1070656,261.0334777832031
1686298747.435758,1072192,311.5511474609375
1686298765.1472266,1075264,269.94305419921875
1686298782.667729,1078336,194.58265686035156
1686298817.831691,1084480,259.9740905761719
1686298826.7313144,1086016,380.43829345703125
1686298835.5444674,1087552,239.2813262939453
1686298844.3716788,1089088,243.15185546875
1686298853.2269375,1090624,393.26519775390625
1686298905.3015,1099840,278.1854553222656
1686298923.0084124,1102912,234.3152618408203
1686298931.7406797,1104448,178.04945373535156
1686298940.6243641,1105984,373.60235595703125
1686298949.4690077,1107520,336.31121826171875
1686298975.5241833,1112128,244.63536071777344
1686298984.3649967,1113664,237.22000122070312
1686298993.097148,1115200,149.6201934814453
1686299001.9834268,1116736,322.6860656738281
1686299045.6411858,1124416,298.36968994140625
1686299089.744891,1132096,214.66171264648438
1686299115.9720333,1136704,302.1014709472656
1686299124.7655392,1138240,331.9678649902344
1686299176.8330374,1147456,283.8829650878906
1686299248.110636,1159744,205.96627807617188
1686299274.7750328,1164352,240.1426239013672
1686299283.6235068,1165888,294.80841064453125
1686299345.4878514,1176640,220.70974731445312
1686299372.0431163,1181248,216.09396362304688
1686299389.8822577,1184320,211.18199157714844
1686299451.622496,1195072,299.0131530761719
1686299460.4724662,1196608,288.9232177734375
1686299486.8591082,1201216,275.979736328125
1686299495.6109416,1202752,247.86849975585938
1686299557.5642998,1213504,250.78053283691406
1686299575.2585344,1216576,231.3867645263672
1686299592.8683422,1219648,300.3485412597656
1686299601.6698222,1221184,296.1663513183594
1686299610.495529,1222720,181.1651153564453
1686299672.1519005,1233472,141.53578186035156
1686299716.4858027,1241152,287.4651184082031
1686299734.0146194,1244224,263.19952392578125
1686299742.9019184,1245760,313.31591796875
1686299778.2477639,1251904,330.0573425292969
1686299804.6570604,1256512,231.79588317871094
1686299822.2182925,1259584,289.5520935058594
1686299830.997439,1261120,249.58766174316406
1686299857.372385,1265728,344.6661682128906
1686299910.4843097,1274944,200.11337280273438
1686299919.3604536,1276480,253.235595703125
1686299936.9624188,1279552,223.44659423828125
1686299963.533526,1284160,183.5864715576172
1686299981.0314186,1287232,208.76565551757812
1686299989.7564573,1288768,352.0745544433594
1686300007.482199,1291840,292.3894348144531
1686300024.9986622,1294912,224.83702087402344
1686300033.8440447,1296448,333.7322998046875
1686300095.782329,1307200,203.0903778076172
1686300166.4078221,1319488,311.2397766113281
1686300175.1725233,1321024,143.77877807617188
1686300183.9512432,1322560,193.17105102539062
1686300219.309998,1328704,170.39971923828125
1686300308.7709184,1344064,198.354248046875
1686300317.6875262,1345600,216.328369140625
1686300335.4418051,1348672,194.20181274414062
1686300370.8557131,1354816,302.379150390625
1686300397.1210663,1359424,312.97833251953125
1686300405.9502032,1360960,300.8962707519531
1686300414.6907794,1362496,176.5208282470703
1686300441.4050846,1367104,242.05642700195312
1686300529.9345176,1382464,179.08567810058594
1686300547.54724,1385536,224.73207092285156
1686300600.511811,1394752,255.70684814453125
1686300626.766518,1399360,179.8799591064453
1686300644.4841025,1402432,221.83401489257812
1686300653.2892134,1403968,250.97572326660156
1686300671.0083826,1407040,179.08346557617188
1686300706.4472818,1413184,384.0590515136719
1686300741.5635138,1419328,315.7104797363281
1686300759.1577756,1422400,165.6931915283203
1686300803.2460895,1430080,272.7950439453125
1686300856.1457605,1439296,268.07403564453125
1686300917.6402292,1450048,203.05691528320312
1686300926.4603517,1451584,263.7637634277344
1686300970.7963347,1459264,191.8945770263672
1686300979.6785948,1460800,363.63592529296875
1686301014.8556528,1466944,237.43731689453125
1686301023.5923002,1468480,254.1669158935547
1686301058.8326976,1474624,305.7950744628906
1686301067.6812654,1476160,187.14939880371094
1686301085.256352,1479232,304.37005615234375
1686301111.7082825,1483840,325.5059509277344
1686301155.6391454,1491520,203.0825958251953
1686301164.4482083,1493056,180.3217315673828
1686301173.1970677,1494592,199.20071411132812
1686301190.6880822,1497664,174.96290588378906
1686301218.5652788,1502272,286.31256103515625
1686301227.3750324,1503808,173.5574188232422
1686301236.2792027,1505344,225.3524627685547
1686301262.6485548,1509952,198.92303466796875
1686301343.7786396,1523776,226.20664978027344
1686301361.4675515,1526848,162.4324188232422
1686301387.6425085,1531456,159.22959899902344
1686301396.4569075,1532992,210.88038635253906
1686301414.078765,1536064,222.588623046875
1686301422.7659907,1537600,155.38043212890625
1686301466.5047565,1545280,181.56796264648438
1686301475.293582,1546816,187.3641357421875
1686301527.9557874,1556032,248.2271270751953
1686301554.3480332,1560640,186.2686004638672
1686301588.7077127,1566784,179.96678161621094
1686301623.5632644,1572928,129.1520233154297
1686301641.1622036,1576000,167.3500518798828
1686301676.3526957,1582144,175.73712158203125
1686301684.924138,1583680,230.98892211914062
1686301693.722122,1585216,171.9512481689453
1686301710.8872721,1588288,203.79156494140625
1686301755.1898541,1595968,173.97499084472656
1686301764.0153053,1597504,152.09718322753906
1686301798.8967986,1603648,195.0270233154297
1686301807.7428095,1605184,171.17845153808594
1686301816.520855,1606720,150.5731658935547
1686301948.3222418,1629760,230.41795349121094
1686302009.9095564,1640512,159.60997009277344
1686302018.7024364,1642048,141.81935119628906
1686302064.1576674,1649728,192.58091735839844
1686302073.0053685,1651264,188.54798889160156
1686302090.6164646,1654336,133.49490356445312
1686302108.1577113,1657408,247.5992889404297
1686302143.4047985,1663552,213.8551483154297
1686302222.382855,1677376,153.73069763183594
1686302241.409353,1680448,187.69320678710938
1686302250.1268713,1681984,248.94424438476562
1686302276.575018,1686592,155.3152313232422
1686302329.1727548,1695808,383.45733642578125
1686302399.8427262,1708096,143.9364013671875
1686302408.6179652,1709632,187.10768127441406
1686302436.6753678,1714240,214.88876342773438
1686302445.459894,1715776,162.478759765625
1686302471.8832428,1720384,203.2508544921875
