Wall time,Step,Value
1685902520.7826922,3072,-1.9457945823669434
1685902529.6354055,4608,-1.9447089433670044
1685902538.4382977,6144,-1.9414403438568115
1685902547.0299816,7680,-1.9363125562667847
1685902555.834398,9216,-1.928297519683838
1685902565.972382,10752,-1.9263373613357544
1685902574.6530592,12288,-1.9253792762756348
1685902583.414786,13824,-1.9211736917495728
1685902592.260456,15360,-1.9146510362625122
1685902601.0244308,16896,-1.9118515253067017
1685902609.7150981,18432,-1.9077529907226562
1685902618.435442,19968,-1.9076287746429443
1685902627.180801,21504,-1.907596230506897
1685902635.918134,23040,-1.908226490020752
1685902644.6592107,24576,-1.9079476594924927
1685902655.2980301,26112,-1.910378336906433
1685902665.3527846,27648,-1.9063942432403564
1685902674.870906,29184,-1.8953303098678589
1685902683.8428366,30720,-1.8941699266433716
1685902692.7274058,32256,-1.8970181941986084
1685902701.2981596,33792,-1.8982963562011719
1685902710.0513024,35328,-1.8969740867614746
1685902720.1439464,36864,-1.8966377973556519
1685902728.8102143,38400,-1.89608895778656
1685902737.526569,39936,-1.8962492942810059
1685902746.8916326,41472,-1.8977707624435425
1685902756.3951864,43008,-1.8923028707504272
1685902765.600957,44544,-1.8829623460769653
1685902774.9142482,46080,-1.88270103931427
1685902784.0251863,47616,-1.87848699092865
1685902793.1314442,49152,-1.8673988580703735
1685902803.588759,50688,-1.8574633598327637
1685902812.9347405,52224,-1.8354697227478027
1685902821.7573206,53760,-1.8201086521148682
1685902830.5442884,55296,-1.8162529468536377
1685902839.3992364,56832,-1.807748556137085
1685902848.2249608,58368,-1.807820439338684
1685902856.758972,59904,-1.8197044134140015
1685902865.4916756,61440,-1.821040391921997
1685902874.2389603,62976,-1.8192578554153442
1685902883.041871,64512,-1.8156864643096924
1685902891.794848,66048,-1.8178445100784302
1685902900.5820448,67584,-1.8244825601577759
1685902909.389905,69120,-1.8248600959777832
1685902918.2051928,70656,-1.8247445821762085
1685902926.856552,72192,-1.8205416202545166
1685902935.592496,73728,-1.8097450733184814
1685902944.3482084,75264,-1.8055696487426758
1685902953.066866,76800,-1.805960774421692
1685902961.8024445,78336,-1.8094449043273926
1685902970.6675806,79872,-1.8091611862182617
1685902979.4158623,81408,-1.8106194734573364
1685902988.2662876,82944,-1.8111556768417358
1685902997.0301917,84480,-1.8007092475891113
1685903005.7615576,86016,-1.7882317304611206
1685903014.5986347,87552,-1.7868493795394897
1685903023.2947974,89088,-1.7894047498703003
1685903031.9884713,90624,-1.7961543798446655
1685903040.6754022,92160,-1.7994346618652344
1685903049.3630679,93696,-1.8043447732925415
1685903058.169727,95232,-1.8053029775619507
1685903067.0446692,96768,-1.8073368072509766
1685903075.9362977,98304,-1.8105604648590088
1685903084.6861565,99840,-1.8135632276535034
1685903095.0352225,101376,-1.8130154609680176
1685903103.7348413,102912,-1.8115966320037842
1685903112.443876,104448,-1.8062245845794678
1685903121.1514764,105984,-1.8087725639343262
1685903130.0137382,107520,-1.815432071685791
1685903138.8051224,109056,-1.8120853900909424
1685903147.5317817,110592,-1.808380365371704
1685903156.3321128,112128,-1.8069030046463013
1685903165.0618532,113664,-1.8081656694412231
1685903173.8254354,115200,-1.8120778799057007
1685903182.526833,116736,-1.8140771389007568
1685903191.2123497,118272,-1.8066822290420532
1685903200.0074065,119808,-1.8061622381210327
1685903208.8258083,121344,-1.807850956916809
1685903217.6379673,122880,-1.8113733530044556
1685903226.418703,124416,-1.817322015762329
1685903235.2995896,125952,-1.8071895837783813
1685903244.0475178,127488,-1.7945067882537842
1685903252.8631432,129024,-1.7891887426376343
1685903261.597822,130560,-1.7910919189453125
1685903270.3482878,132096,-1.7923580408096313
1685903279.0007572,133632,-1.788124918937683
1685903288.573073,135168,-1.7822970151901245
1685903297.2737684,136704,-1.7794878482818604
1685903305.9714527,138240,-1.7785263061523438
1685903314.63402,139776,-1.774107575416565
1685903323.150934,141312,-1.7607754468917847
1685903331.8003843,142848,-1.7528702020645142
1685903340.4818723,144384,-1.7474780082702637
1685903349.1882899,145920,-1.7458863258361816
1685903357.8676085,147456,-1.7458487749099731
1685903366.5265722,148992,-1.7479273080825806
1685903375.268902,150528,-1.7539265155792236
1685903384.0488214,152064,-1.7573357820510864
1685903392.8261807,153600,-1.760798454284668
1685903401.5175102,155136,-1.7644777297973633
1685903410.166083,156672,-1.764145851135254
1685903418.9239771,158208,-1.7610371112823486
1685903427.4589615,159744,-1.7545355558395386
1685903436.2277296,161280,-1.7566653490066528
1685903444.9408154,162816,-1.7603964805603027
